area_feasible,area_alone,proportion,convex,feasibility,distance,detection,parameter,vero_model,trcy_model,environment
86063.53411133001,150579.18066204994,0.5715500226056175,0,1,0.13715480760652504,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85651.90580020924,150579.18066204994,0.5688163889830212,0,1,3.159868081902503,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86192.65894627055,150579.18066204994,0.5724075437740341,0,1,0.21721453362383425,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85758.23731142431,150579.18066204994,0.569522539134374,0,1,0.56961159356287006,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86153.8685304347,150579.18066204994,0.5721499356793075,0,1,0.25727633515171866,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86098.0308907132,150579.18066204994,0.5717791165562655,0,1,0.5445582733837893,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85918.21740484689,150579.18066204994,0.570584970824593,0,1,2.6315579550003143,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86038.45092755166,150579.18066204994,0.5713834445722661,0,0,-1.0151101234068152,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86098.36469132238,150579.18066204994,0.5717813333342271,0,1,0.5686678813915425,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86477.22985708293,150579.18066204994,0.574297386111874,0,1,0.4914127793048322,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86354.8309430054,150579.18066204994,0.5734845319474445,0,0,-0.954694905185635,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86038.62767034807,150579.18066204994,0.5713846183254745,0,1,0.7301863282189873,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86108.50304108598,150579.18066204994,0.5718486623615138,0,1,0.07926198581751343,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85734.59725734267,150579.18066204994,0.5693655449604271,0,1,3.3848594984974874,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85988.72607123753,150579.18066204994,0.5710532205924602,0,1,1.9468191262093293,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85737.50426046435,150579.18066204994,0.5693848504388399,0,1,0.11005409780455988,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85805.92020794404,150579.18066204994,0.5698392024095366,0,1,0.8585565155374828,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85919.5359402392,150579.18066204994,0.5705937272501926,0,1,1.358608962900787,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85902.66417540831,150579.18066204994,0.570481681449726,0,1,0.3189391254176188,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86005.63004781518,150579.18066204994,0.5711654803119204,0,1,0.24215778984052116,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86013.01260875612,150579.18066204994,0.5712145080786307,0,1,2.3579628190480166,1,lambda_i,Beverton-Holt,Beverton-Holt,open
